Started at: 15:38:10
['/DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx
✅ Saved → RBQ | Palio | Row 8
✅ Saved → RBQ | Palio | Row 9
✅ Saved → RBQ | Palio | Row 10
✅ Saved → RBQ | Palio | Row 11
✅ Saved → RBQ | Palio | Row 12
✅ Saved → RBQ | Palio | Row 13
✅ Saved → RBQ | Palio | Row 14
✅ Saved → RBQ | Palio | Row 15
✅ Saved → RBQ | Palio | Row 16
✅ Saved → RBQ | Palio | Row 17
✅ Saved → RBQ | Palio | Row 18
✅ Saved → RBQ | Palio | Row 19
✅ Saved → RBQ | Palio | Row 20
✅ Saved → RBQ | Palio | Row 21
✅ Saved → RBQ | Palio | Row 22
✅ Saved → RBQ | Palio | Row 23
✅ Saved → RBQ | Palio | Row 24
✅ Saved → RBQ | Palio | Row 25
✅ Saved → RBQ | Palio | Row 26
✅ Saved → RBQ | Palio | Row 27
✅ Saved → RBQ | Palio | Row 28
✅ Saved → RBQ | Palio | Row 29
✅ Saved → RBQ | Palio | Row 30
✅ Saved → RBQ | Palio | Row 31
✅ Saved → RBQ | Palio | Row 32
✅ Saved → RBQ | Palio | Row 33
✅ Saved → RBQ | Palio | Row 34
✅ Saved → RBQ | Palio | Row 35
✅ Saved → RBQ | Palio | Row 36
✅ Saved → RBQ | Palio | Row 37
✅ Saved → RBQ | Palio | Row 38
✅ Saved → RBQ | Palio | Row 39
✅ Saved → RBQ | Palio | Row 40
✅ Saved → RBQ | Palio | Row 41
✅ Saved → RBQ | Palio | Row 42
✅ Saved → RBQ | Palio | Row 43
✅ Saved → RBQ | Palio | Row 44
✅ Saved → RBQ | Palio | Row 45
✅ Saved → RBQ | Palio | Row 46
✅ Saved → RBQ | Palio | Row 47
✅ Saved → RBQ | Palio | Row 48
✅ Saved → RBQ | Palio | Row 49
✅ Saved → RBQ | Palio | Row 50
✅ Saved → RBQ | Palio | Row 51
✅ Saved → RBQ | Palio | Row 52
✅ Saved → RBQ | Palio | Row 53
❌ Error on row 54: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
✅ Saved → RBQ | Palio | Row 54
✅ Saved → RBQ | Palio | Row 55
✅ Saved → RBQ | Palio | Row 56
✅ Saved → RBQ | Palio | Row 57
✅ Saved → RBQ | Palio | Row 58
✅ Saved → RBQ | Palio | Row 59
✅ Saved → RBQ | Palio | Row 60
✅ Saved → RBQ | Palio | Row 61
✅ Saved → RBQ | Palio | Row 62
✅ Saved → RBQ | Palio | Row 63
✅ Saved → RBQ | Palio | Row 64
✅ Saved → RBQ | Palio | Row 65
✅ Saved → RBQ | Palio | Row 66
✅ Saved → RBQ | Palio | Row 67
✅ Saved → RBQ | Palio | Row 68
✅ Saved → RBQ | Palio | Row 69
✅ Saved → RBQ | Palio | Row 70
✅ Saved → RBQ | Palio | Row 71
✅ Saved → RBQ | Palio | Row 72
✅ Saved → RBQ | Palio | Row 73
✅ Saved → RBQ | Palio | Row 74
✅ Saved → RBQ | Palio | Row 75
✅ Saved → RBQ | Palio | Row 76
✅ Saved → RBQ | Palio | Row 77
✅ Saved → RBQ | Palio | Row 78
✅ Saved → RBQ | Palio | Row 79
✅ Saved → RBQ | Palio | Row 80
✅ Saved → RBQ | Palio | Row 81
✅ Saved → RBQ | Palio | Row 82
✅ Saved → RBQ | Palio | Row 83
✅ Saved → RBQ | Palio | Row 84
✅ Saved → RBQ | Palio | Row 85
✅ Saved → RBQ | Palio | Row 86
✅ Saved → RBQ | Palio | Row 87
✅ Saved → RBQ | Palio | Row 88
✅ Saved → RBQ | Palio | Row 89
✅ Saved → RBQ | Palio | Row 90
✅ Saved → RBQ | Palio | Row 91
✅ Saved → RBQ | Palio | Row 92
✅ Saved → RBQ | Palio | Row 93
✅ Saved → RBQ | Palio | Row 94
✅ Saved → RBQ | Palio | Row 95
✅ Saved → RBQ | Palio | Row 96
✅ Saved → RBQ | Palio | Row 97
✅ Saved → RBQ | Palio | Row 98
✅ Saved → RBQ | Palio | Row 99
✅ Saved → RBQ | Palio | Row 100
✅ Saved → RBQ | Palio | Row 101
✅ Saved → RBQ | Palio | Row 102
✅ Saved → RBQ | Palio | Row 103
✅ Saved → RBQ | Palio | Row 104
✅ Saved → RBQ | Palio | Row 105
✅ Saved → RBQ | Palio | Row 106
✅ Saved → RBQ | Palio | Row 107
✅ Saved → RBQ | Palio | Row 108
✅ Saved → RBQ | Palio | Row 109
✅ Saved → RBQ | Palio | Row 110
✅ Saved → RBQ | Palio | Row 111
✅ Saved → RBQ | Palio | Row 112
✅ Saved → RBQ | Palio | Row 113
✅ Saved → RBQ | Palio | Row 114
✅ Saved → RBQ | Palio | Row 115
✅ Saved → RBQ | Palio | Row 116
✅ Saved → RBQ | Palio | Row 117
✅ Saved → RBQ | Palio | Row 118
✅ Saved → RBQ | Palio | Row 119
✅ Saved → RBQ | Palio | Row 120
✅ Saved → RBQ | Palio | Row 122
✅ Saved → RBQ | Palio | Row 123
✅ Saved → RBQ | Palio | Row 124
✅ Saved → RBQ | Palio | Row 125
✅ Saved → RBQ | Palio | Row 126
✅ Saved → RBQ | Palio | Row 127
✅ Saved → RBQ | Palio | Row 128
✅ Saved → RBQ | Palio | Row 129
✅ Saved → RBQ | Palio | Row 130
✅ Saved → RBQ | Palio | Row 131
✅ Saved → RBQ | Palio | Row 133
✅ Saved → RBQ | Palio | Row 134
✅ Saved → RBQ | Palio | Row 135
✅ Saved → RBQ | Palio | Row 136
✅ Saved → RBQ | Palio | Row 137
✅ Saved → RBQ | Palio | Row 138
✅ Saved → RBQ | Palio | Row 139
✅ Saved → RBQ | Palio | Row 140
✅ Saved → RBQ | Palio | Row 142
✅ Saved → RBQ | Palio | Row 143
✅ Saved → RBQ | Palio | Row 144
✅ Saved → RBQ | Palio | Row 145
✅ Saved → RBQ | Palio | Row 146
✅ Saved → RBQ | Palio | Row 147
✅ Saved → RBQ | Palio | Row 148
✅ Saved → RBQ | Palio | Row 149
✅ Saved → RBQ | Ruzzola | Row 0
✅ Saved → RBQ | Ruzzola | Row 1
✅ Saved → RBQ | Ruzzola | Row 2
✅ Saved → RBQ | Ruzzola | Row 3
✅ Saved → RBQ | Ruzzola | Row 4
✅ Saved → RBQ | Ruzzola | Row 5
✅ Saved → RBQ | Ruzzola | Row 6
✅ Saved → RBQ | Ruzzola | Row 7
✅ Saved → RBQ | Ruzzola | Row 8
✅ Saved → RBQ | Ruzzola | Row 9
✅ Saved → RBQ | Ruzzola | Row 10
✅ Saved → RBQ | Ruzzola | Row 11
✅ Saved → RBQ | Ruzzola | Row 12
✅ Saved → RBQ | Ruzzola | Row 13
✅ Saved → RBQ | Ruzzola | Row 14
✅ Saved → RBQ | Ruzzola | Row 15
✅ Saved → RBQ | Ruzzola | Row 16
✅ Saved → RBQ | Ruzzola | Row 17
✅ Saved → RBQ | Ruzzola | Row 18
✅ Saved → RBQ | Ruzzola | Row 19
✅ Saved → RBQ | Ruzzola | Row 20
✅ Saved → RBQ | Ruzzola | Row 21
✅ Saved → RBQ | Ruzzola | Row 22
✅ Saved → RBQ | Ruzzola | Row 23
