Started at: 20:40:09
['/DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/france/RBQ/France_RBQ.xlsx
✅ Saved → RBQ | Gouren | Row 54
✅ Saved → RBQ | Gouren | Row 55
✅ Saved → RBQ | Gouren | Row 56
✅ Saved → RBQ | Gouren | Row 57
✅ Saved → RBQ | Gouren | Row 58
✅ Saved → RBQ | Gouren | Row 59
✅ Saved → RBQ | Gouren | Row 60
✅ Saved → RBQ | Gouren | Row 61
✅ Saved → RBQ | Gouren | Row 62
✅ Saved → RBQ | Gouren | Row 63
✅ Saved → RBQ | Gouren | Row 64
✅ Saved → RBQ | Gouren | Row 65
✅ Saved → RBQ | Gouren | Row 66
✅ Saved → RBQ | Gouren | Row 67
✅ Saved → RBQ | Gouren | Row 68
✅ Saved → RBQ | Gouren | Row 69
✅ Saved → RBQ | Gouren | Row 70
✅ Saved → RBQ | Gouren | Row 72
✅ Saved → RBQ | Gouren | Row 73
✅ Saved → RBQ | Gouren | Row 74
✅ Saved → RBQ | Gouren | Row 75
✅ Saved → RBQ | Gouren | Row 76
✅ Saved → RBQ | Gouren | Row 77
✅ Saved → RBQ | Gouren | Row 78
✅ Saved → RBQ | Gouren | Row 80
✅ Saved → RBQ | Gouren | Row 81
✅ Saved → RBQ | Gouren | Row 82
✅ Saved → RBQ | Gouren | Row 83
✅ Saved → RBQ | Gouren | Row 84
✅ Saved → RBQ | Gouren | Row 99
✅ Saved → RBQ | Gouren | Row 127
✅ Saved → RBQ | Gouren | Row 128
✅ Saved → RBQ | Gouren | Row 129
✅ Saved → RBQ | Gouren | Row 130
✅ Saved → RBQ | Gouren | Row 131
✅ Saved → RBQ | Gouren | Row 132
✅ Saved → RBQ | Gouren | Row 133
✅ Saved → RBQ | Gouren | Row 134
✅ Saved → RBQ | Gouren | Row 135
✅ Saved → RBQ | Gouren | Row 136
✅ Saved → RBQ | Gouren | Row 138
✅ Saved → RBQ | Gouren | Row 139
✅ Saved → RBQ | Gouren | Row 140
✅ Saved → RBQ | Camarague | Row 0
✅ Saved → RBQ | Camarague | Row 1
✅ Saved → RBQ | Camarague | Row 2
✅ Saved → RBQ | Camarague | Row 3
✅ Saved → RBQ | Camarague | Row 4
✅ Saved → RBQ | Camarague | Row 5
✅ Saved → RBQ | Camarague | Row 6
✅ Saved → RBQ | Camarague | Row 7
✅ Saved → RBQ | Camarague | Row 8
