Started at: 09:48:35
['/DATA/rohan_kirti/country/sudan/RBQ/Sudan_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/sudan/RBQ/Sudan_RBQ.xlsx
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 66
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 67
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 68
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 69
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 70
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 71
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 72
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 73
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 74
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 75
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 76
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 77
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 78
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 79
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 80
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 81
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 82
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 83
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 84
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 85
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 86
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 87
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 88
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 89
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 90
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 91
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 92
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 93
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 94
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 95
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 96
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 97
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 98
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 99
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 100
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 101
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 102
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 103
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 104
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 105
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 106
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 107
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 108
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 109
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 110
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 111
