Started at: 21:02:55
SBQ

📌 Processing: /DATA/rohan_kirti/country/ethopia/SBQ/Ethopia_SBQ.xlsx
Genna
✅ Saved → SBQ | Aba Geda Wrestling | Row 49
✅ Saved → SBQ | Aba Geda Wrestling | Row 50
✅ Saved → SBQ | Aba Geda Wrestling | Row 51
✅ Saved → SBQ | Aba Geda Wrestling | Row 52
✅ Saved → SBQ | Aba Geda Wrestling | Row 53
✅ Saved → SBQ | Aba Geda Wrestling | Row 54
✅ Saved → SBQ | Aba Geda Wrestling | Row 55
✅ Saved → SBQ | Aba Geda Wrestling | Row 56
✅ Saved → SBQ | Aba Geda Wrestling | Row 57
✅ Saved → SBQ | Aba Geda Wrestling | Row 58
✅ Saved → SBQ | Aba Geda Wrestling | Row 59
✅ Saved → SBQ | Aba Geda Wrestling | Row 60
✅ Saved → SBQ | Aba Geda Wrestling | Row 61
✅ Saved → SBQ | Aba Geda Wrestling | Row 62
✅ Saved → SBQ | Aba Geda Wrestling | Row 63
✅ Saved → SBQ | Aba Geda Wrestling | Row 64
✅ Saved → SBQ | Aba Geda Wrestling | Row 65
✅ Saved → SBQ | Aba Geda Wrestling | Row 66
✅ Saved → SBQ | Aba Geda Wrestling | Row 67
✅ Saved → SBQ | Aba Geda Wrestling | Row 68
✅ Saved → SBQ | Aba Geda Wrestling | Row 69
✅ Saved → SBQ | Aba Geda Wrestling | Row 70
✅ Saved → SBQ | Aba Geda Wrestling | Row 71
✅ Saved → SBQ | Aba Geda Wrestling | Row 72
✅ Saved → SBQ | Aba Geda Wrestling | Row 73
✅ Saved → SBQ | Aba Geda Wrestling | Row 74
✅ Saved → SBQ | Aba Geda Wrestling | Row 75
✅ Saved → SBQ | Aba Geda Wrestling | Row 76
✅ Saved → SBQ | Aba Geda Wrestling | Row 77
✅ Saved → SBQ | Aba Geda Wrestling | Row 78
✅ Saved → SBQ | Aba Geda Wrestling | Row 79
✅ Saved → SBQ | Aba Geda Wrestling | Row 80
✅ Saved → SBQ | Aba Geda Wrestling | Row 81
✅ Saved → SBQ | Aba Geda Wrestling | Row 82
✅ Saved → SBQ | Aba Geda Wrestling | Row 83
✅ Saved → SBQ | Aba Geda Wrestling | Row 84
✅ Saved → SBQ | Aba Geda Wrestling | Row 85
✅ Saved → SBQ | Aba Geda Wrestling | Row 86
✅ Saved → SBQ | Aba Geda Wrestling | Row 87
✅ Saved → SBQ | Aba Geda Wrestling | Row 88
