Started at: 20:28:35
SBQ

📌 Processing: /DATA/rohan_kirti/country/thailand/SBQ/Thailand_SBQ.xlsx
chon wua
✅ Saved → SBQ | len wow | Row 38
✅ Saved → SBQ | len wow | Row 39
✅ Saved → SBQ | len wow | Row 40
✅ Saved → SBQ | len wow | Row 41
✅ Saved → SBQ | len wow | Row 42
✅ Saved → SBQ | len wow | Row 43
✅ Saved → SBQ | len wow | Row 44
✅ Saved → SBQ | len wow | Row 45
✅ Saved → SBQ | len wow | Row 46
✅ Saved → SBQ | len wow | Row 47
✅ Saved → SBQ | len wow | Row 48
✅ Saved → SBQ | len wow | Row 49
✅ Saved → SBQ | len wow | Row 50
✅ Saved → SBQ | len wow | Row 51
✅ Saved → SBQ | len wow | Row 52
✅ Saved → SBQ | len wow | Row 53
✅ Saved → SBQ | len wow | Row 54
✅ Saved → SBQ | len wow | Row 55
✅ Saved → SBQ | len wow | Row 56
✅ Saved → SBQ | len wow | Row 57
✅ Saved → SBQ | len wow | Row 58
✅ Saved → SBQ | len wow | Row 59
✅ Saved → SBQ | len wow | Row 60
✅ Saved → SBQ | len wow | Row 61
✅ Saved → SBQ | len wow | Row 62
✅ Saved → SBQ | len wow | Row 63
✅ Saved → SBQ | len wow | Row 64
✅ Saved → SBQ | len wow | Row 65
✅ Saved → SBQ | len wow | Row 66
✅ Saved → SBQ | len wow | Row 67
✅ Saved → SBQ | len wow | Row 68
✅ Saved → SBQ | len wow | Row 69
✅ Saved → SBQ | len wow | Row 70
✅ Saved → SBQ | len wow | Row 71
✅ Saved → SBQ | len wow | Row 72
✅ Saved → SBQ | len wow | Row 73
✅ Saved → SBQ | len wow | Row 74
✅ Saved → SBQ | len wow | Row 75
✅ Saved → SBQ | len wow | Row 76
✅ Saved → SBQ | len wow | Row 77
