Started at: 21:01:42
['/DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx
✅ Saved → RBQ | Aba Geda Wrestling | Row 52
✅ Saved → RBQ | Aba Geda Wrestling | Row 53
✅ Saved → RBQ | Aba Geda Wrestling | Row 54
✅ Saved → RBQ | Aba Geda Wrestling | Row 55
✅ Saved → RBQ | Aba Geda Wrestling | Row 56
✅ Saved → RBQ | Aba Geda Wrestling | Row 57
✅ Saved → RBQ | Aba Geda Wrestling | Row 58
✅ Saved → RBQ | Aba Geda Wrestling | Row 59
✅ Saved → RBQ | Aba Geda Wrestling | Row 60
✅ Saved → RBQ | Aba Geda Wrestling | Row 61
✅ Saved → RBQ | Aba Geda Wrestling | Row 62
✅ Saved → RBQ | Aba Geda Wrestling | Row 63
✅ Saved → RBQ | Aba Geda Wrestling | Row 64
✅ Saved → RBQ | Aba Geda Wrestling | Row 65
✅ Saved → RBQ | Aba Geda Wrestling | Row 66
✅ Saved → RBQ | Aba Geda Wrestling | Row 67
✅ Saved → RBQ | Aba Geda Wrestling | Row 68
✅ Saved → RBQ | Aba Geda Wrestling | Row 70
✅ Saved → RBQ | Aba Geda Wrestling | Row 71
✅ Saved → RBQ | Aba Geda Wrestling | Row 72
✅ Saved → RBQ | Aba Geda Wrestling | Row 73
✅ Saved → RBQ | Aba Geda Wrestling | Row 74
✅ Saved → RBQ | Aba Geda Wrestling | Row 75
✅ Saved → RBQ | Aba Geda Wrestling | Row 77
✅ Saved → RBQ | Aba Geda Wrestling | Row 78
✅ Saved → RBQ | Aba Geda Wrestling | Row 79
✅ Saved → RBQ | Aba Geda Wrestling | Row 80
✅ Saved → RBQ | Aba Geda Wrestling | Row 81
✅ Saved → RBQ | Aba Geda Wrestling | Row 82
✅ Saved → RBQ | Aba Geda Wrestling | Row 83
✅ Saved → RBQ | Aba Geda Wrestling | Row 84
✅ Saved → RBQ | Aba Geda Wrestling | Row 86
✅ Saved → RBQ | Aba Geda Wrestling | Row 87
✅ Saved → RBQ | Aba Geda Wrestling | Row 88
✅ Saved → RBQ | Aba Geda Wrestling | Row 89
❌ Error on row 90: 504 Server Error: Gateway Time-out for url: https://cloud.olakrutrim.com/v1/chat/completions
✅ Saved → RBQ | Aba Geda Wrestling | Row 90
✅ Saved → RBQ | Aba Geda Wrestling | Row 91
✅ Saved → RBQ | Aba Geda Wrestling | Row 92
✅ Saved → RBQ | Aba Geda Wrestling | Row 93
✅ Saved → RBQ | Aba Geda Wrestling | Row 94
✅ Saved → RBQ | Aba Geda Wrestling | Row 96
✅ Saved → RBQ | Aba Geda Wrestling | Row 97
